name,ratings,ratingsNumber
De Echte Eethuis Carlos,5.0,599
Kebap - Pizza De Brug,5.0,312
Trend Kebab & Pizzeria,5.0,165
Munchies Ieper,5.0,6
La Trinacria Bottega,5.0,3
Snack-It,5.0,3
Pizza Minute,4.9,2833
Pizza Heat,4.9,1786
Pitza Service,4.9,1315
Pizza Time Evergem,4.9,1148
Baskent Meerhout,4.9,879
Pitta Seker,4.9,857
De Notenboom,4.9,706
Pink Pizza Genk,4.9,688
Pizzeria Zirar Saint-Denis,4.9,529
Pizzacut,4.9,463
Pizza L'Esta,4.9,372
Am Princesse,4.9,367
More pizza's,4.9,311
Pitta de Kroon,4.9,261
The Black Horse,4.9,127
Pizzeria Kebap Selin,4.9,115
Pizza Service,4.9,113
Plaza Snacks,4.9,84
Milas,4.9,66
Barnaba,4.9,63
Pyramide,4.9,45
Detroit Square Pizza,4.9,35
Royal Donuts & Bagels,4.9,32
Pizzeria 1357,4.9,24
Domino's Pizza,4.9,19
Pizza Leie,4.9,5
Pizza Pasta Concept,4.8,2894
Pizza Viaaa,4.8,2114
Il Girasole,4.8,1869
L'Atelier à Pizza,4.8,1558
Pizza Service Wilrijk,4.8,1452
Diamond Pizza Berchem,4.8,1088
Only Pizza,4.8,1041
Un Cent,4.8,948
Pizza Way,4.8,512
Naroj,4.8,397
Squadra Opdorp,4.8,397
Speedy Pizza,4.8,374
Pizza Toni,4.8,316
Ümit Pizza Kebab Grillroom,4.8,310
Pizza 'n Shake,4.8,308
Rosso Peperone,4.8,276
Pizza Di Beqo,4.8,262
Gli Amici,4.8,238
Restaurant Gok,4.8,237
Izmir Snacks,4.8,209
Simit House,4.8,196
Slice and More,4.8,180
Pizza Florida,4.8,169
Chateau Pineau,4.8,158
Pizza Master Shop,4.8,139
Domino's Pizza,4.8,117
Pizzeria Saray,4.8,111
Snack Aydin Beringen,4.8,104
Pizzeria Tiamo,4.8,94
Mr. Spareribs,4.8,92
Snack Grill Pizza Asalam,4.8,79
Pizza Pazzi,4.8,77
Mozaique,4.8,76
Vicenza,4.8,75
Pizza Heat,4.8,64
Pizza Fast,4.8,63
Pizza Pasta Express,4.8,45
Don Collavo,4.8,44
Le Concerto Forest National,4.8,39
Istanbul,4.8,34
Eethuis Meyman,4.8,33
Pizza Liloo,4.8,18
Bella's,4.8,14
Qubbe Lounge,4.8,13
Pizzeria La Salina,4.8,11
Rizavita,4.8,9
Libertà,4.8,5
Saffuriya Sweets,4.8,4
Pizza Di Trevi,4.7,4902
Cesars,4.7,3632
Pizza Masters,4.7,3274
Pizzeria Sipan,4.7,1627
Autentica Pizza,4.7,1425
Pizza Phone,4.7,1387
Pizza Di Trevi,4.7,1351
Pizza Yolo,4.7,1254
Asya Pizzeria,4.7,1151
IL Capo,4.7,1127
Pizza Deal,4.7,1036
Eethuis Mehmet,4.7,996
Kingslize Pizza,4.7,913
Pizza Heat,4.7,736
Maldini's Pizza,4.7,736
Pizzeria Gloria,4.7,720
Unal Snacks,4.7,691
Ela Kebap,4.7,644
Pizzalijn Berchem,4.7,561
Pitta & Pizza Izmir Eeklo,4.7,547
Eethuis Zemzem,4.7,542
4 Seizoenen,4.7,522
Pizza Narula,4.7,428
Apollo Pizza,4.7,402
Pitta Number 1 Bredene,4.7,354
Pizza Number 1,4.7,348
HB Resto,4.7,341
Domino's Pizza,4.7,301
Grillhouse Kusadasi,4.7,295
Mazzerina,4.7,266
Traiteur Sim & Yur,4.7,208
Doner Kebab Bahri,4.7,184
Pizzeria Pompei,4.7,169
La Casa Mia,4.7,128
Resto Snack Alanya,4.7,115
Rapido Pizza,4.7,104
Gusto!,4.7,78
Pep & Pino,4.7,73
Kebap Mustafa,4.7,72
Qivvi,4.7,70
Zia Maria Pizzeria,4.7,68
Pizza Taxi Eilandje,4.7,62
Boston Pizza,4.7,59
Restaurant Di Trapani,4.7,55
Domino's Pizza,4.7,53
Pizzeria Pazza Inter,4.7,47
Fratello's Pizzeria,4.7,43
Benvenuto,4.7,42
Pittazino,4.7,42
Kismetli,4.7,39
Genco Pizza,4.7,32
't Hoekske,4.7,31
Jagat's Place,4.7,23
Zelem Pizzeria,4.7,21
The Pizza Valley,4.7,16
Peppermint Park,4.7,14
Pizzeria Bella Vita Aubel,4.7,13
Tokcel,4.7,6
Crumulus,4.7,5
Jeronimo's Pizza,4.7,4
La Pomme de Pin,4.7,3
Bruschetta Mia,4.7,3
Pizza Vera,4.6,3349
Pinocchio,4.6,2109
Pizza Taliano,4.6,1986
Pizzeria Per Passione,4.6,1799
Bouwelse Pizzafoon,4.6,1438
Pizza Taxi,4.6,1429
Pizza Gustosa,4.6,1382
King Of Kebab,4.6,1353
Tasty Pizza,4.6,1271
Bollero,4.6,1231
Pizza Di Roma,4.6,1166
Pizza Zandhoven,4.6,1120
Pizzeria Evin,4.6,1103
Pizza Heat Berlare,4.6,1099
Pizza Service,4.6,1048
Kebab Oelegem,4.6,1016
Kingslize Pizza,4.6,988
Pizza Hut Delivery,4.6,912
Kingslize Pizza,4.6,878
Huzur Pizzeria Kebab,4.6,805
Pizza Istanbul,4.6,777
De ster pizzeria & doner kebap,4.6,704
Eethuis Taha,4.6,691
Ali Baba,4.6,673
Anatolia 23,4.6,652
Orontes,4.6,526
Pizzeria Istanbul,4.6,469
Frituur-Grillroom Dalia,4.6,448
Pizzeria Casa Grande,4.6,441
Pizza Talia's Concept,4.6,438
Pizzeria Messina,4.6,437
Sapori Veri,4.6,394
Toscane,4.6,383
Domino's Pizza,4.6,365
Pizza Margherita,4.6,361
Pizza HOT,4.6,349
Felix Pizza,4.6,321
Venus 8,4.6,315
Liman Grill House,4.6,291
"Efes Grillhouse, Kebab & Pizzeria",4.6,276
Bella Italia,4.6,241
Trattoria Borsalino,4.6,240
Pizzaria Gunther,4.6,237
Schaffense Kebap,4.6,196
Pizza Town Houtem,4.6,189
Pizza Express Mere,4.6,181
Domino's Pizza,4.6,178
Pizza Grill Huis,4.6,154
San Marino,4.6,144
Kaya,4.6,142
Late Night Pizza,4.6,137
Da Valentina,4.6,130
Pizza Maestro Belsele,4.6,116
Pizza Express,4.6,115
Magic Food,4.6,114
Le Kasseria,4.6,111
Pizzeria Da Antonio,4.6,109
Pizza Valo,4.6,109
Pizza Squisito Belsele,4.6,96
Top Pizza,4.6,93
Pizzaya,4.6,72
Pizzeria la Ora,4.6,68
Basilico,4.6,67
Oli's House,4.6,56
Pizzeria Papino,4.6,55
Pizzaria Vlam II,4.6,52
Bel Kebab,4.6,49
Pizza Zirar,4.6,46
Snacks,4.6,43
Pita Babylon,4.6,38
Bella Ciaoo,4.6,29
Kebabstore,4.6,23
La famiglia,4.6,19
Amber's Pizzalijn,4.6,12
M'adam Traiteur,4.6,11
Brasserie Gribaumont,4.6,10
Euro Pizza Grill,4.6,8
Mamma Italia,4.6,7
Villa Borghèse,4.6,5
Sim Pizza,4.5,7030
BE-JACKS,4.5,5674
Pizza Service,4.5,4147
Pizza Pronto,4.5,2578
Pizza Altamira,4.5,2542
Goody's,4.5,2219
Toscana,4.5,1951
Pizza Slice,4.5,1593
Pizza Talia Original,4.5,1553
Buon Appetito,4.5,1547
Pizza Heat Dendermonde,4.5,1545
Pizza Phone,4.5,1338
Royal Food House,4.5,1175
Pizza Phone,4.5,1101
Pitza Service,4.5,1054
Pizza Di Trevi,4.5,1037
Pizzeria Zirar,4.5,927
Espace Pizza,4.5,796
Pizza Babbi,4.5,788
Pita Pizza Pyramide,4.5,766
Pizza Heat,4.5,740
't Perfecte Huis,4.5,641
Snack Unal,4.5,553
Jerusalem,4.5,547
Yam Yam,4.5,516
Pizzeria Saporito,4.5,511
Baskent Averbode,4.5,509
Snack Aydin Genk,4.5,488
La Piazza,4.5,463
Traiteur Emmanuel,4.5,395
Kebap Nisa,4.5,366
Pasta Pizza Délice,4.5,360
Pizza Lestina,4.5,337
Pizzeria Morenas,4.5,329
Gold Pizza,4.5,327
M84U,4.5,325
Miss Pizza,4.5,307
't Kebabske,4.5,302
Snack & Pizza de Oase,4.5,300
Pizzeria Nina,4.5,280
Euro Kebab-Pizza,4.5,250
Pizza Hut Delivery,4.5,235
Heist Kebab,4.5,230
Pepe's Pizza & Pasta,4.5,227
Romeo E Giulietta,4.5,214
Merdin 2,4.5,213
Pitta Alpay,4.5,209
LivaKebab,4.5,205
Bosphore Grill,4.5,196
Efes Geetbets,4.5,182
La Lanterna,4.5,175
Frituur 't Bekske,4.5,173
Seven Pizza,4.5,167
Acqua e Farina,4.5,143
Indian tadka & Istanbul kebab,4.5,143
The Good Cat,4.5,143
Pizza Bella Vista,4.5,142
Pretzel King,4.5,140
Il Colosseo,4.5,124
Aki Sushi Heist-op-den-Berg,4.5,114
De Pitstop Peer,4.5,107
Les 4 Goûts,4.5,105
Mama Mia,4.5,91
Sahin Eethuis,4.5,85
La Plazza Waremme,4.5,80
Il Viadotto,4.5,70
Pizzeria Al Doppio A,4.5,69
"Dinner&You Burgers, Grill & More",4.5,63
Pizza Milano,4.5,59
Pizzeria Toscana,4.5,56
Domino's Pizza Maaseik,4.5,51
Pizzeria La Piazzetta,4.5,50
Kebaba,4.5,44
Pizzeria Side,4.5,39
Yamiii,4.5,38
Nasip,4.5,36
Julius Caesar,4.5,34
Domino's Pizza,4.5,33
Antalya Kebab,4.5,28
Pizzeria La Familia,4.5,28
Leo's Bakkerij & Kebab,4.5,22
Pizza Hut Delivery,4.5,22
Pizza Factory,4.5,22
Tekince Kebap Resto,4.5,21
Pink Pizza Hasselt,4.5,15
Tasty Take Away,4.5,5
Sezer Snack-Pizza,4.4,10368
Campus & Fratelli,4.4,3558
Pizzeria Da toto,4.4,2791
Pizzeria Grissini & Kebab House,4.4,2048
Pizza Venise,4.4,2013
Pitza Service,4.4,1862
TAT,4.4,1688
Pizza King,4.4,1619
Midyat,4.4,1551
Le Pont De Luttre,4.4,1538
Pizza Place,4.4,1474
Napoli Schoten,4.4,1402
Pizza Heat Wachtebeke,4.4,1395
De Pizzabakker,4.4,1394
Herentals Kebab,4.4,1173
Pitta Bodrum,4.4,1138
Pizzeria Luigi,4.4,1122
Pizzo,4.4,1103
Al Dente,4.4,1064
Orient KURINGEN,4.4,1059
Donos Pizza,4.4,1013
Boston Pizza,4.4,1002
Pizza Club,4.4,943
King Pizza & More,4.4,827
Dr. Grill,4.4,785
Valento Pizzeria,4.4,704
Pizza Verdi,4.4,697
Musty Kebab,4.4,657
Pizza Dino 21,4.4,619
Pizza Trenti,4.4,617
Eethuis Musti,4.4,596
Domino's Pizza,4.4,581
Pizza Pisa,4.4,577
Pizza Clara,4.4,572
Pizzeria Valsugana,4.4,555
Pizzeria Jaffo,4.4,554
Pizza Delice Jette,4.4,508
Oase,4.4,505
Pizza Midas,4.4,503
Lara Eethuis,4.4,479
The Food Affair,4.4,470
Pizza Planet,4.4,460
Domino's Pizza,4.4,440
Pizzeria Da Romy,4.4,439
Dolce Vita,4.4,418
Domino's Pizza,4.4,401
Sfinx,4.4,400
Grand Station,4.4,371
Pizza Da Las,4.4,363
Sabina Pizza & Dinner,4.4,351
De Fontein,4.4,321
Domino's Pizza,4.4,319
Karine Grembergen,4.4,297
Pizza Pasta Locale,4.4,264
New York Pizza,4.4,262
Pizza Husrev,4.4,240
Pita & Pizza Ela,4.4,240
Chez Da Fano,4.4,213
Snack Aydin Ham,4.4,197
Pizza Hanoo,4.4,190
Food Box,4.4,185
Vespa Pasta en Pizza Bar,4.4,147
Has Pide,4.4,146
Osman Kebab Pizzeria,4.4,144
Ottoman Pizza & BBQ,4.4,136
Pitta Canan,4.4,131
La Sardegna,4.4,127
Via Vai,4.4,123
Öz Ahi Döner,4.4,112
Chef Eethuis,4.4,109
Incontro,4.4,108
Bosphorus,4.4,97
Forno A'Legna,4.4,92
Twins Tavern,4.4,89
Brozen,4.4,80
Domino's Pizza,4.4,76
Pizza Pasta Time,4.4,72
La Cucina tradizionale,4.4,71
La Cucina,4.4,66
Baraka't Kacem,4.4,36
Ô 16 Art,4.4,34
Pita Huis Blauwwater,4.4,33
Pizza Time,4.4,24
Nisa Pita & Kebab,4.4,24
Grano,4.4,23
La Focaccia,4.4,20
Godo Bistrot Pizzeria Bar,4.4,19
La Nuova Piazza,4.4,18
Ciao Pizza,4.4,14
Magic Kebap-Kessenich,4.4,13
Al Solito Posto,4.4,9
Le Quai Gourmand,4.4,9
Akid Bab Alhara,4.4,6
Eethuis Spalbeek,4.4,6
Pizza Roma,4.3,4472
Pizza Apetito,4.3,4201
Pronto Pizza,4.3,2946
Pizza Trenti,4.3,2944
Pizza Town,4.3,2804
I due Fratelli,4.3,2552
Call Pizza,4.3,2431
Pizza Phone,4.3,2400
Il Gusto Pizzeria,4.3,2361
Pizza Mania,4.3,1931
Papi's pizza,4.3,1890
Pizza Mr. Food,4.3,1832
Pizza Pitta Flora,4.3,1799
Taste King Pizza,4.3,1732
Merdin 3,4.3,1726
The Pizza Maker,4.3,1649
Eethuis Tuba,4.3,1622
Pizzaespress,4.3,1467
Pizza Star,4.3,1449
Pizza Vali,4.3,1373
Bella Rosa,4.3,1361
Primavera,4.3,1345
Milano Pizza Grill,4.3,1209
Grill Room Isis,4.3,1178
Cannur Pizza Pasta Pitta BBQ,4.3,1134
Queen Pizza,4.3,1123
Bella Vita,4.3,1048
Nic'Os pizza house,4.3,1043
Pizza Talia,4.3,1030
Mister Pizza,4.3,996
Murat Pita Pizza Pasta,4.3,993
Pizza Town Waasmunster,4.3,923
Efes bij Carlos Niko,4.3,840
Eethuis Troja,4.3,825
Aladin,4.3,798
Twins,4.3,780
Eethuis Istanbul,4.3,741
La Casa del Papino,4.3,680
Pizza Point,4.3,629
Domino's Pizza,4.3,628
Domino's Pizza,4.3,607
Pizza Heat,4.3,599
Speedy Pizzas,4.3,598
Boston Pizza,4.3,569
Orient Lanaken,4.3,551
Anka Kebab,4.3,531
Huzur Pizzeria Kebab,4.3,515
Oliva,4.3,507
La Pizzetta,4.3,499
Ali Baba,4.3,489
Pizza Point,4.3,486
Venezia,4.3,480
Pizza Bella Pitta,4.3,467
Pizza Service,4.3,456
Pizza Hut Delivery,4.3,453
Fresca,4.3,444
Njoy!,4.3,441
Anatolian Kebap,4.3,432
Pizza Heat Zottegem,4.3,415
Domino's Pizza,4.3,403
Casa Pizza,4.3,384
Tradita,4.3,348
Donatello's Pizza,4.3,346
Millenium Kebap,4.3,329
Fresh!,4.3,325
Snack Opwijk,4.3,309
İstiklal Breakfast & Lunch,4.3,305
Istanbul Resto Snack,4.3,301
Pizza Town Wachtebeke,4.3,299
Asmin,4.3,297
Pizza Zaga,4.3,269
Pizzeria Pinocchio,4.3,255
Pizza Boxx,4.3,244
Pizza Pita Zottegem,4.3,235
La Piazzetta,4.3,213
Maara Uno,4.3,199
Pizza Diamond,4.3,181
Giovanni's Kapellen,4.3,180
Otomat,4.3,170
Sam Kebab,4.3,155
Pizza Apo,4.3,144
Picco Bello,4.3,140
Pitta Saray,4.3,117
Kent,4.3,116
Top Snack,4.3,113
Bella Italia,4.3,109
Ali Baba,4.3,109
New York Pizza,4.3,100
Woodiz Basilique,4.3,99
Nur Kebab,4.3,94
Pizza Overpoort,4.3,94
Ristorante Pizzeria Napoli,4.3,86
Pizza De Hoek,4.3,82
Da Roberto Statensingel,4.3,57
The Food Box Brussels,4.3,50
Pizza D-Lux,4.3,45
Da Mario,4.3,43
Rinascente Eethuis,4.3,43
Bella Italia,4.3,40
Onder Pide,4.3,38
Soyy Eethuis & Gelateria,4.3,37
Restaurant Malibu,4.3,36
Eethuis Bij Hakan,4.3,29
Domino's Pizza,4.3,29
La Storia,4.3,27
Pizza Pita Grillroom Milano,4.3,26
Da Pino - Fratelli D'Italia,4.3,15
Pizzeria Modugno,4.3,14
Restaurant Bella Italia,4.3,9
Bereket Eethuis & Bakkerij,4.3,9
La Brezza Nova Rocourt,4.3,8
My Pizza,4.3,8
The Better Pizza Company,4.3,6
Bruno Foodcorner Brugge,4.3,6
Monopoli,4.3,3
Arrivero,4.2,4284
Boston Pizza & Burgers,4.2,2607
Efes Mol,4.2,2085
Pizzeria La Stella,4.2,1870
Eethuis Orient,4.2,1819
The Italian Chef,4.2,1813
Pizza Talia,4.2,1770
Pizza Azzuro,4.2,1639
Napoli Pita Pizza,4.2,1486
Baskent Peer,4.2,1386
Pizza Maa,4.2,1284
Domino's Pizza,4.2,1138
Fansa,4.2,1028
La Monte Carlo,4.2,1022
Eethuis Yuksel,4.2,1004
Pizza Bulls,4.2,936
Pizza Pasta Nr1 City,4.2,909
Oba Grillhuis,4.2,851
Sultan Testelt,4.2,847
Punto Pasta Ixelles,4.2,823
Pizza Pita Pala,4.2,802
Adak Kebab,4.2,794
BUDDY'S,4.2,756
Pizza Sam,4.2,684
Pizza Phone,4.2,667
Pizza Verdi,4.2,666
King Pizza,4.2,648
Pizzeria Margarita,4.2,625
Domino's Pizza,4.2,623
Eethuis Bidos,4.2,592
La Monte Carlo City,4.2,543
Pizza Service,4.2,515
Pizzeria Bella,4.2,499
Donca,4.2,497
Kingslize Pizza,4.2,493
Best of Kebap & Pizza Dender,4.2,478
Pittaverne,4.2,473
La Campagna,4.2,440
Pizza Hut Delivery,4.2,429
Pizza kebap Pasa,4.2,405
Pizzaworld,4.2,399
Posh Kebab,4.2,383
Ciona Pizzeria,4.2,378
Pizza Corner,4.2,364
La Palmeraie,4.2,361
HKebab Pizza,4.2,333
Orient Overpelt,4.2,327
La Nonna,4.2,309
Eethuis Istanbul,4.2,301
Pizza Pitta Lara,4.2,284
Can Pizzeria,4.2,269
Pizza Sultan Westmeerbeek,4.2,261
Domino's Pizza,4.2,259
Sebo,4.2,254
La Ruota,4.2,239
'T Food Dilemma,4.2,235
Chez Bibo,4.2,224
Pizza La Famiglia,4.2,220
Sofram,4.2,200
Pizza & Kebab Zeebrugge,4.2,198
Eethuis Star,4.2,174
Hanedan Kebap & Pizzeria,4.2,172
Arabesque,4.2,156
Domino's Pizza,4.2,155
Domino's Pizza,4.2,134
King Pizza Vilvoorde,4.2,120
Andiamo Pizza,4.2,117
La Dolce Vita,4.2,103
SD LaVigna,4.2,81
The Good Pizza-Pasta,4.2,75
Jimmy Pizza,4.2,72
Saporito,4.2,69
L'impero,4.2,66
Da Toni,4.2,61
Piano A,4.2,55
TopoGigio,4.2,54
Restaurant Cipriani,4.2,31
Pizza Desperado,4.2,31
La Bella Italia,4.2,29
Napolitano,4.2,29
La Casa Pizzeria,4.2,29
Pizzeria Istanbul,4.2,28
Pizzeria L'Ami,4.2,26
Hout Forni,4.2,26
Pizzeria Mi-Mi,4.2,22
L'Arch en Grez,4.2,15
Sapori Del Sud,4.2,14
Pizza Forrientez,4.2,13
Domino's Pizza,4.2,11
La Storia,4.2,10
La Familia,4.2,7
Space Food,4.2,6
Pizza Talia Original,4.1,4654
Pizza Talia Original,4.1,2463
Pizza King Family,4.1,2397
Miro's snack,4.1,1964
Arrivero,4.1,1881
Njam Njam Pizza,4.1,1879
Italian Delights,4.1,1840
Pizza Tower,4.1,1793
Boston Pizza Liedekerke,4.1,1769
Resto Borsa,4.1,1762
Eethuis Hoekske,4.1,1696
Kebap Oasis,4.1,1646
Pizzeria Nasreddin,4.1,1585
Pizza Service,4.1,1581
O'Resto,4.1,1567
Taste King Pizza,4.1,1526
Ottoman Eethuis,4.1,1418
Restaurant t' Dagelijks Broodje,4.1,1418
Pizza Lounge,4.1,1289
Pizza Service,4.1,1239
Restaurant Marmaris,4.1,1089
Eatpoint,4.1,1059
Pizza Marmaris,4.1,1057
The Pizza Masters,4.1,1051
Rana,4.1,1019
Pitta Reco,4.1,961
Tortue Pizza,4.1,952
Snack Pizza City,4.1,923
Pizza Paleis Haasdonk,4.1,917
Anatolia Hoogstraten,4.1,820
Giovanni's Brasschaat,4.1,805
Pizza Milano,4.1,804
Pizza Pazzia Totò Dilbeek,4.1,788
Pizza Sam,4.1,722
Number One Snack,4.1,700
Pizzeria Number One,4.1,687
Pizza Roma,4.1,668
Sude Snacks,4.1,663
Baskent Balen,4.1,658
Poker Friet,4.1,579
Eethuis Taksim,4.1,573
Cappadocië,4.1,569
Pizza Bodrum,4.1,540
Snack Kursatto,4.1,520
M&N Royal,4.1,491
De Pyramiden,4.1,468
Seven Kebap 7,4.1,445
Pizzeria de Avondstar,4.1,433
Domino's Pizza,4.1,425
Domino's Pizza,4.1,415
Pizza Hut Delivery,4.1,398
Pizza Talia's Concept,4.1,388
Royale Pizza Express,4.1,380
Domino's Pizza,4.1,369
Pizza Efe Westerlo,4.1,339
Pizza Hut Delivery,4.1,329
Grill House Centrum,4.1,319
Ramses II,4.1,317
The Pizza Corner,4.1,305
Kapadokya döner,4.1,304
Pizza Stop,4.1,296
Populair,4.1,282
